tool	ceagle 	ceagle 	ceagle 	ceagle 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/Ton_Chanh_15/NestedRecursion_1b_true-termination.c	true	0.420364273	0.4187389723956585	8224768
C/Ton_Chanh_15/NestedRecursion_1c_true-termination.c	true	0.352627472	0.35077875945717096	8069120
C/Ton_Chanh_15/NestedRecursion_1d_true-termination.c	true	0.31875127	0.31714673433452845	7929856
C/Ton_Chanh_15/NestedRecursion_2a_false-termination.c	true	0.376694901	0.37505121156573296	7921664
C/Ton_Chanh_15/NestedRecursion_2b_false-termination.c	true	4.312039791	4.291140411049128	11067392
C/Ton_Chanh_15/NestedRecursion_2c_true-termination.c	true	4.340737394	4.31901276204735	9838592
C/Ultimate/4BitCounterPointer_true-termination.c	ERROR (3)	0.0870423	0.08716791588813066	8482816
C/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c	ERROR (3)	0.069900106	0.07003276236355305	8081408
C/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c	ERROR (3)	0.066775049	0.06715650018304586	8093696
C/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c	ERROR (3)	1.787658236	1.7801890121772885	8093696
C/Ultimate/Bangalore_true-termination.c	true	152.473968367	151.92415217403322	63709184
C/Ultimate/Cairo_true-termination.c	true	16.260589409	16.181711111217737	23285760
C/Ultimate/Collatz_unknown-termination.c	ERROR (3)	0.98302316	0.978375437669456	7917568
C/Ultimate/Division_false-termination.c	ERROR (3)	1.689016219	1.680476917885244	8089600
C/Ultimate/Gothenburg_true-termination.c	ERROR (3)	16.13441597	16.063184240832925	11313152
C/Ultimate/LexIndexValue-Array_true-termination.c	ERROR (3)	0.308289808	0.3073421996086836	8724480
C/Ultimate/LexIndexValue-Pointer_true-termination.c	ERROR (3)	0.086995378	0.08703520894050598	8740864
C/Ultimate/Lobnya-Boolean-Reordered_true-termination.c	ERROR (3)	3.268241362	3.2534029250964522	8220672
C/Ultimate/Madrid_false-termination.c	TIMEOUT	300.688155505	300.6987681295723	169627648
C/Ultimate/Mysore_true-termination.c	true	249.453788297	248.92101859115064	86458368
