tool	ctrl 	ctrl 	ctrl 	ctrl 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/min_rf_true-termination.c	ERROR (2)	0.012508951	0.012784681282937527	3526656
C/SV-COMP_Termination_Category/svcomp_cstrcmp_true-termination.c	ERROR (2)	0.012566739	0.012854178436100483	1642496
C/SV-COMP_Termination_Category/svcomp_cstrcspn_true-termination.c	ERROR (2)	0.012821503	0.013134205713868141	1777664
C/SV-COMP_Termination_Category/svcomp_cstrlen_true-termination.c	ERROR (2)	0.012447091	0.01264526043087244	1765376
C/SV-COMP_Termination_Category/svcomp_cstrncmp_true-termination.c	ERROR (2)	0.011803986	0.012623648159205914	1785856
C/SV-COMP_Termination_Category/svcomp_cstrpbrk_true-termination.c	ERROR (2)	0.01177537	0.011963427998125553	1761280
C/SV-COMP_Termination_Category/svcomp_cstrspn_true-termination.c	ERROR (2)	0.011183574	0.011378339491784573	1777664
C/SV-COMP_Termination_Category/svcomp_strchr_true-termination.c	ERROR (2)	0.010165599	0.010435886681079865	1638400
C/Ton_Chanh_15/Ackermann_false-termination.c	ERROR (2)	0.012150679	0.012426991946995258	1761280
C/Ton_Chanh_15/Ackermann_true-termination.c	ERROR (2)	0.010954672	0.011140371672809124	1744896
C/Ton_Chanh_15/Binary_Search_true-termination.c	ERROR (2)	0.012227466	0.012531854212284088	1519616
C/Ton_Chanh_15/McCarthy91_Recursion_true-termination.c	ERROR (2)	0.012024508	0.012339080683887005	1630208
C/Ton_Chanh_15/MutualRecursion_1a_false-termination.c	ERROR (2)	0.013614658	0.01670866459608078	1626112
C/Ton_Chanh_15/MutualRecursion_1b_true-termination.c	ERROR (2)	0.012551655	0.01270714495331049	1622016
C/Ton_Chanh_15/NestedRecursion_1a_false-termination.c	ERROR (2)	0.012591359	0.01604709029197693	1748992
C/Ton_Chanh_15/NestedRecursion_1b_true-termination.c	ERROR (2)	0.012273528	0.01251883152872324	1732608
C/Ton_Chanh_15/NestedRecursion_1c_true-termination.c	ERROR (2)	0.012381742	0.016094609163701534	1613824
C/Ton_Chanh_15/NestedRecursion_1d_true-termination.c	ERROR (2)	0.01224072	0.012465819716453552	1753088
C/Ton_Chanh_15/NestedRecursion_2a_false-termination.c	ERROR (2)	0.012001167	0.013489257544279099	1761280
C/Ton_Chanh_15/NestedRecursion_2b_false-termination.c	ERROR (2)	0.011755444	0.01195336040109396	1757184
C/Ton_Chanh_15/NestedRecursion_2c_true-termination.c	ERROR (2)	0.012027936	0.01244057435542345	1507328
C/Ultimate/4BitCounterPointer_true-termination.c	ERROR (2)	0.012466897	0.012716099619865417	1740800
C/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c	ERROR (2)	0.012169688	0.01242989394813776	1761280
C/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c	ERROR (2)	0.012270496	0.012441166676580906	1650688
